date,steps,distance,run_distance,calories
2022-09-13,9967,7524,2972,723
2022-09-14,2777,1871,265,75
2022-09-15,10184,6989,1212,485
2022-09-16,13469,11084,7165,724
2022-09-17,11125,7924,3580,571
2022-09-18,16265,12905,5531,899
2022-09-19,15569,11161,1719,937
2022-09-20,17534,13394,3854,1080
2022-09-21,4885,3216,987,139
2022-09-22,8894,6157,1438,530
2022-09-23,9732,6475,1317,252
2022-09-24,7811,5020,486,180
2022-09-25,12342,8293,1261,459
2022-09-26,5335,3600,513,151
2022-09-27,4470,2968,884,454
2022-09-28,13891,9729,3548,653
2022-09-29,8619,6064,1165,533
2022-09-30,2984,1938,419,87
2022-10-01,446,278,107,18
2022-10-02,11318,7947,2442,681
2022-10-03,13742,9595,3178,778
2022-10-04,8487,5510,1526,540
2022-10-05,7721,5025,1215,220
2022-10-06,6564,4340,1043,180
2022-10-07,5083,3364,792,155
2022-10-08,1173,732,91,41
2022-10-09,833,520,158,32
2022-10-10,5496,3707,1124,163
2022-10-11,8586,5736,1660,490
2022-10-12,1039,658,146,34
2022-10-13,7512,5108,1354,469
2022-10-14,6838,4599,1516,191
2022-10-15,313,195,64,14
2022-10-16,947,591,112,34
2022-10-17,5042,3396,762,138
2022-10-18,8508,5829,1371,252
2022-10-19,6434,4275,1185,189
2022-10-20,5490,3608,851,153
2022-10-21,7611,5112,1061,209
2022-10-22,1064,668,96,34
2022-10-23,954,595,194,37
2022-10-24,5774,3864,1266,162
2022-10-25,6175,4142,1215,179
2022-10-26,7018,4665,1274,198
2022-10-27,5646,3808,1364,151
2022-10-28,6764,4523,1531,189
2022-10-29,717,447,182,29
2022-10-30,6378,4024,428,146
2022-10-31,12656,8892,639,733
2022-11-01,1483,925,104,36
2022-11-02,6196,4075,863,186
2022-11-03,7873,5258,1295,481
2022-11-04,6562,4379,973,184
2022-11-05,470,293,123,21
2022-11-06,4277,3067,234,123
2022-11-07,15243,10728,3265,698
2022-11-08,6712,4461,1344,217
2022-11-09,5731,3887,959,171
2022-11-10,7538,5059,1005,464
2022-11-11,7418,5041,1218,198
2022-11-12,464,289,85,19
2022-11-13,4764,3215,637,121
2022-11-14,4410,2931,1024,129
2022-11-15,7111,4695,1095,382
2022-11-16,5408,3580,818,164
2022-11-17,5304,3513,902,156
2022-11-18,7345,5022,1581,193
2022-11-19,408,254,41,15
2022-11-20,1563,1070,192,49
2022-11-21,329,205,36,18
2022-11-22,267,167,124,16
2022-11-23,297,185,45,17
2022-11-24,617,385,73,27
2022-11-25,2060,1306,173,57
2022-11-26,77,48,11,4
2022-11-27,734,458,88,26
2022-11-28,4530,3050,845,125
2022-11-29,7235,4793,1639,228
2022-11-30,6142,4127,1294,185
2022-12-01,4823,3258,546,131
2022-12-02,7323,4845,1505,192
2022-12-03,632,394,121,30
2022-12-04,653,407,136,25
2022-12-05,6372,4298,960,164
2022-12-06,52,32,14,3
2022-12-07,6493,4305,896,172
2022-12-08,951,593,72,31
2022-12-09,3068,1951,284,73
2022-12-10,1086,677,127,36
2022-12-11,6481,4151,693,162
2022-12-12,17081,11948,4235,843
2022-12-13,6122,4072,1183,170
2022-12-14,7648,5063,1201,198
2022-12-15,5649,3735,632,138
2022-12-16,9112,6228,1802,228
2022-12-17,5300,3417,464,135
2022-12-18,7475,5261,1654,422
2022-12-19,12247,8528,3324,572
2022-12-20,6810,4587,1429,175
2022-12-21,5788,3791,1158,183
2022-12-22,4872,3274,701,123
2022-12-23,867,541,185,26
2022-12-24,524,327,40,17
2022-12-25,1092,681,131,36
2022-12-26,8109,5285,427,192
2022-12-27,1265,811,165,41
2022-12-28,3009,2166,298,79
2022-12-29,2630,1799,157,72
2022-12-30,650,405,95,22
2022-12-31,1019,636,219,42
2023-01-01,874,545,205,35
2023-01-02,468,292,145,25
2023-01-03,2335,1486,273,69
2023-01-04,798,498,124,26
2023-01-05,2583,1785,220,79
2023-01-06,2221,1431,240,69
2023-01-07,704,439,125,28
2023-01-08,1426,926,159,48
2023-01-09,3383,2319,293,92
2023-01-10,1605,1131,56,43
2023-01-11,673,453,75,21
2023-01-12,10006,7072,909,260
2023-01-13,5701,3947,575,166
2023-01-14,556,347,95,21
2023-01-15,1767,1140,193,55
2023-01-16,4891,3224,690,146
2023-01-17,8353,5661,812,244
2023-01-18,7515,5104,749,214
2023-01-19,5828,3980,974,168
2023-01-20,7312,4916,937,202
2023-01-21,1157,722,176,40
2023-01-22,1625,1014,176,45
2023-01-23,5606,3745,1108,179
2023-01-24,6977,4655,1766,208
2023-01-25,7330,4933,1369,221
2023-01-26,5382,3623,998,159
2023-01-27,6772,4594,989,184
2023-01-28,4006,2512,353,112
2023-01-29,3672,2309,249,91
2023-01-30,1716,1117,170,54
2023-01-31,7771,5187,1459,227
2023-02-01,6186,4119,1066,181
2023-02-02,6014,4083,1058,171
2023-02-03,6900,4623,1152,170
2023-02-04,1146,715,68,34
2023-02-05,2866,1836,339,75
2023-02-06,7394,5016,1353,199
2023-02-07,8386,5693,1920,234
2023-02-08,6182,4149,1299,171
2023-02-09,5562,3903,1065,152
2023-02-10,7181,4861,1374,193
2023-02-11,695,433,121,29
2023-02-12,4412,2826,393,117
2023-02-13,4916,3307,583,137
2023-02-14,7764,5126,1494,217
2023-02-15,6121,3979,892,185
2023-02-16,6663,4450,933,172
2023-02-17,6877,4640,1096,184
2023-02-18,1374,857,174,44
2023-02-19,2857,1782,268,82
2023-02-20,13283,9300,1968,684
2023-02-21,7383,4899,1409,212
2023-02-22,10284,7137,1200,385
2023-02-23,10490,7145,1546,412
2023-02-24,6364,4310,958,175
2023-02-25,4489,3107,1250,232
2023-02-26,3151,2036,437,95
2023-02-27,10801,7442,1617,458
2023-02-28,6748,4530,1034,182
2023-03-01,5541,3733,1016,164
2023-03-02,5878,3989,1162,165
2023-03-03,6929,4835,740,201
2023-03-04,537,335,72,22
2023-03-05,6777,4729,1600,422
2023-03-06,8602,5827,1310,233
2023-03-07,6933,4675,1054,191
2023-03-08,9188,6206,1043,395
2023-03-09,6493,4431,1429,345
2023-03-10,6087,4076,1058,295
2023-03-11,680,424,127,26
2023-03-12,499,311,82,19
2023-03-13,8096,5449,1347,609
2023-03-14,7666,5278,1962,207
2023-03-15,6832,4564,1418,185
2023-03-16,743,463,146,25
2023-03-17,6124,4140,1192,159
2023-03-18,823,517,117,28
2023-03-19,3070,1963,550,92
2023-03-20,7203,4939,955,556
2023-03-21,3461,2319,655,104
2023-03-22,4809,3280,704,121
2023-03-23,6788,4662,1723,179
2023-03-24,604,377,64,23
2023-03-25,457,285,34,15
2023-03-26,331,206,99,16
2023-03-27,6005,4071,822,158
2023-03-28,7533,5150,1712,193
2023-03-29,7081,4743,1534,206
2023-03-30,5875,3968,1158,160
2023-03-31,2513,1624,195,62
2023-04-01,484,302,88,16
2023-04-02,1183,738,154,38
2023-04-03,3421,2371,971,89
2023-04-04,7770,5145,911,612
2023-04-05,4698,3178,965,122
2023-04-06,4844,3242,420,525
2023-04-07,6274,4161,640,499
2023-04-08,832,519,170,30
2023-04-09,878,559,194,34
2023-04-10,3255,2052,242,76
2023-04-11,2242,1427,370,61
2023-04-12,5820,3905,1082,154
2023-04-13,6120,4094,719,557
2023-04-14,4815,3303,1163,479
2023-04-15,6105,4402,380,158
2023-04-16,12728,8873,2514,703
2023-04-17,7053,4890,1872,185
2023-04-18,7545,5099,1579,366
2023-04-19,5956,3974,1326,156
2023-04-20,14295,9909,2418,526
2023-04-21,7038,4851,1735,420
2023-04-22,1108,691,216,39
2023-04-23,4943,3221,672,483
2023-04-24,11024,7609,2117,536
2023-04-25,8492,5818,1726,370
2023-04-26,8123,5439,1458,216
2023-04-27,12587,8676,1993,306
2023-04-28,3835,2525,509,463
2023-04-29,1487,927,151,44
2023-04-30,3473,2223,285,96
2023-05-01,2433,1537,262,71
2023-05-02,6736,4595,1488,372
2023-05-03,7769,5260,1441,213
2023-05-04,8202,5622,1885,390
2023-05-05,3200,2181,554,398
2023-05-06,3193,2085,297,83
2023-05-07,2748,1790,388,71
2023-05-08,11345,7964,2314,651
2023-05-09,6124,4035,811,169
2023-05-10,14627,9866,1146,380
2023-05-11,17697,12669,2669,586
2023-05-12,7345,5124,2100,442
2023-05-13,1119,778,185,35
2023-05-14,5922,3933,783,149
2023-05-15,12101,8510,1655,304
2023-05-16,12832,9005,2375,508
2023-05-17,8100,5541,1447,211
2023-05-18,9245,6649,3184,233
2023-05-19,803,501,63,26
2023-05-20,567,354,154,24
