date,deep_sleep_time,shallow_sleep_time,wake_time,start,stop
2022-09-14,77.0,421.0,2,2022-09-13 21:27:00+0000,2022-09-14 05:47:00+0000
2022-09-15,60.0,429.0,0,2022-09-14 21:57:00+0000,2022-09-15 06:06:00+0000
2022-09-16,82.0,286.0,0,2022-09-15 23:28:00+0000,2022-09-16 05:36:00+0000
2022-09-17,70.0,453.0,0,2022-09-16 22:22:00+0000,2022-09-17 07:05:00+0000
2022-09-18,91.0,404.0,0,2022-09-17 21:57:00+0000,2022-09-18 06:12:00+0000
2022-09-19,105.0,418.0,0,2022-09-18 21:10:00+0000,2022-09-19 05:53:00+0000
2022-09-20,63.0,411.0,0,2022-09-19 22:05:00+0000,2022-09-20 05:59:00+0000
2022-09-21,66.0,336.0,1,2022-09-20 22:03:00+0000,2022-09-21 04:46:00+0000
2022-09-22,82.0,380.0,0,2022-09-21 21:55:00+0000,2022-09-22 05:37:00+0000
2022-09-23,75.0,402.0,0,2022-09-22 22:14:00+0000,2022-09-23 06:11:00+0000
2022-09-24,41.0,290.0,0,2022-09-24 01:49:00+0000,2022-09-24 07:20:00+0000
2022-09-25,79.0,279.0,3,2022-09-25 01:50:00+0000,2022-09-25 07:51:00+0000
2022-09-26,73.0,409.0,1,2022-09-25 21:39:00+0000,2022-09-26 05:42:00+0000
2022-09-27,82.0,474.0,1,2022-09-26 21:15:00+0000,2022-09-27 06:32:00+0000
2022-09-28,47.0,378.0,0,2022-09-27 22:37:00+0000,2022-09-28 05:42:00+0000
2022-09-29,72.0,370.0,1,2022-09-28 22:17:00+0000,2022-09-29 05:40:00+0000
2022-09-30,118.0,381.0,0,2022-09-29 22:12:00+0000,2022-09-30 06:31:00+0000
2022-10-01,86.0,419.0,0,2022-09-30 22:13:00+0000,2022-10-01 06:38:00+0000
2022-10-02,114.0,498.0,6,2022-10-01 20:49:00+0000,2022-10-02 07:07:00+0000
2022-10-03,75.0,396.0,0,2022-10-02 21:49:00+0000,2022-10-03 05:40:00+0000
2022-10-04,67.0,399.0,1,2022-10-03 21:34:00+0000,2022-10-04 05:21:00+0000
2022-10-05,90.0,306.0,11,2022-10-04 22:33:00+0000,2022-10-05 05:20:00+0000
2022-10-06,66.0,415.0,0,2022-10-05 21:21:00+0000,2022-10-06 05:22:00+0000
