type,startTime,sport_time,max_pace,min_pace,distance(m),avg_pace,calories
6,2024-04-24 19:00:14+0000,1269,0.0,0.64434886,1745.0,0.727,163.0
6,2024-04-24 11:43:29+0000,1115,6.5154243,0.30787426,1790.0,0.622,152.0
6,2024-04-23 18:59:39+0000,1263,0.0,0.42787176,1837.0,0.687,164.0
6,2024-04-23 15:54:53+0000,1131,3.5148463,0.5409774,1732.0,0.652,133.0
6,2024-04-23 08:23:33+0000,4598,0.0,0.29348534,9527.0,0.482,603.0
6,2024-04-22 19:00:12+0000,1206,0.0,0.5496901,1777.0,0.678,160.0
6,2024-04-22 12:43:16+0000,1085,3.59491,0.4562843,1711.0,0.634,146.0
6,2024-04-22 10:13:48+0000,2093,0.0,0.3235091,4340.0,0.482,362.0
6,2024-04-19 18:26:48+0000,1334,1.9929146,0.46521774,2007.0,0.664,186.0
6,2024-04-19 09:52:35+0000,1146,2.5292914,0.47705817,1763.0,0.649,177.0
6,2024-04-18 14:53:44+0000,1120,1.4866441,0.38301855,1712.0,0.653,152.0
6,2024-04-18 12:41:49+0000,1174,7.696007,0.21782586,1905.0,0.616,158.0
6,2024-04-17 18:59:20+0000,1309,0.0,0.47355783,1913.0,0.683,160.0
6,2024-04-17 15:53:57+0000,1158,4.219398,0.5198694,1765.0,0.655,177.0
6,2024-04-17 06:47:39+0000,4899,0.0,0.32010856,9693.0,0.505,961.0
6,2024-04-16 18:59:28+0000,1241,0.0,0.36337376,1864.0,0.665,172.0
6,2024-04-16 16:02:12+0000,1061,4.413943,0.41690132,1751.0,0.605,130.0
24,2024-04-16 07:21:36+0000,2993,0.0,0.0,0.0,0.0,312.0
6,2024-04-15 18:12:23+0000,12283,0.0,0.29434705,2338.0,5.252,640.0
6,2024-04-15 12:43:53+0000,1139,2.666964,0.5261248,1732.0,0.657,159.0
6,2024-04-12 19:06:35+0000,1079,0.0,0.2101039,1829.0,0.589,163.0
6,2024-04-12 09:39:07+0000,1091,3.2982886,0.11107004,1878.0,0.58,150.0
6,2024-04-11 18:14:55+0000,849,2.1076798,0.23403557,1225.0,0.692,118.0
6,2024-04-11 12:43:13+0000,1059,3.0871544,0.50978094,1703.0,0.621,156.0
24,2024-04-11 10:01:26+0000,2143,0.0,0.0,0.0,0.0,205.0
6,2024-04-11 09:18:59+0000,2371,1.6051033,0.35661295,4444.0,0.533,436.0
6,2024-04-10 18:55:44+0000,1277,0.0,0.5256839,1863.0,0.685,170.0
6,2024-04-10 15:54:05+0000,1088,4.136308,0.5517081,1786.0,0.608,166.0
6,2024-04-09 18:59:46+0000,1503,0.0,0.14189787,2002.0,0.75,193.0
6,2024-04-09 15:29:35+0000,1133,2.0479763,0.47640678,1754.0,0.645,168.0
6,2024-04-09 07:50:23+0000,5167,0.0,0.31404978,9604.0,0.537,934.0
6,2024-04-08 19:01:08+0000,1232,0.0,0.32390985,1878.0,0.655,172.0
6,2024-04-08 12:42:33+0000,1144,8.044751,0.52059644,1772.0,0.645,173.0
24,2024-04-08 10:09:37+0000,2372,0.0,0.0,0.0,0.0,220.0
6,2024-04-08 09:46:02+0000,1290,6.7905946,0.4897629,1954.0,0.659,228.0
6,2024-04-05 19:01:04+0000,1217,0.0,0.44266874,1849.0,0.658,146.0
6,2024-04-05 12:41:04+0000,1197,3.7560017,0.44599771,1796.0,0.666,166.0
6,2024-04-04 14:51:53+0000,1192,0.0,0.5644603,1835.0,0.649,170.0
6,2024-04-04 12:41:50+0000,1091,3.8286161,0.4304378,1776.0,0.614,180.0
6,2024-04-03 18:59:44+0000,1241,0.0,0.54519475,1815.0,0.683,173.0
6,2024-04-03 15:55:21+0000,1122,1.5917221,0.43070033,1797.0,0.624,164.0
6,2024-04-02 18:58:44+0000,1422,0.0,0.300356,1925.0,0.738,201.0
6,2024-04-02 15:56:25+0000,1244,3.348999,0.5127402,1771.0,0.702,156.0
6,2024-04-01 08:38:38+0000,5846,0.0,0.41057584,9596.0,0.609,1120.0
6,2024-03-21 12:01:01+0000,1192,0.0,0.3950382,1808.0,0.658,222.0
6,2024-03-21 07:46:44+0000,1164,4.1462235,1.2368582,1728.0,0.673,163.0
6,2024-03-20 18:34:21+0000,1172,0.0,0.37375593,1841.0,0.636,163.0
6,2024-03-20 11:00:47+0000,1115,3.59491,0.47203857,1721.0,0.647,144.0
6,2024-03-18 19:55:50+0000,1171,0.0,0.17832337,2256.0,0.518,172.0
6,2024-03-18 13:42:09+0000,1181,1.809305,0.23381831,1990.0,0.593,138.0
6,2024-03-15 20:06:15+0000,1155,0.0,0.24256247,1854.0,0.622,215.0
6,2024-03-15 13:12:41+0000,1145,4.2726164,0.45486325,1753.0,0.652,161.0
6,2024-03-14 16:17:32+0000,1106,8.658008,0.3939465,1754.0,0.63,157.0
6,2024-03-14 13:35:03+0000,1236,4.365655,0.380299,1902.0,0.649,170.0
6,2024-03-13 20:03:51+0000,1208,0.0,0.45827162,1773.0,0.68,158.0
6,2024-03-13 13:45:23+0000,1185,3.1749487,0.31379092,1990.0,0.595,167.0
6,2024-03-12 20:01:56+0000,1176,0.0,0.23181188,2253.0,0.521,177.0
6,2024-03-12 18:40:04+0000,1205,3.7248244,0.49882084,1892.0,0.636,184.0
6,2024-03-11 19:59:07+0000,1452,0.0,1.2368582,1865.0,0.778,213.0
6,2024-03-11 14:40:53+0000,1151,4.1462235,1.2368582,1739.0,0.661,172.0
6,2024-03-08 20:01:05+0000,1174,3.8480034,0.42233455,1845.0,0.635,193.0
6,2024-03-08 13:41:31+0000,1159,1.3368691,0.44061217,1817.0,0.637,154.0
6,2024-03-07 13:33:17+0000,1144,3.128633,0.4023672,1767.0,0.647,157.0
6,2024-03-06 19:58:26+0000,1673,5.1645017,0.3303305,1877.0,0.89,206.0
6,2024-03-06 16:52:47+0000,1141,3.59491,0.48236793,1888.0,0.604,229.0
24,2024-03-06 07:46:49+0000,3113,0.0,0.0,0.0,0.0,336.0
6,2024-03-05 20:01:20+0000,1261,0.0,0.444142,1798.0,0.701,152.0
6,2024-03-05 16:50:41+0000,1196,6.7905946,0.58210856,1866.0,0.64,200.0
24,2024-03-05 07:40:05+0000,3471,0.0,0.0,0.0,0.0,321.0
6,2024-03-04 19:09:25+0000,1214,0.0,0.3982445,1825.0,0.665,162.0
6,2024-03-04 13:38:42+0000,1198,1.233765,0.55356896,1845.0,0.649,157.0
6,2024-03-01 19:59:16+0000,1186,3.9430013,0.23713653,1867.0,0.634,214.0
6,2024-03-01 15:30:55+0000,1169,0.0,0.411392,1822.0,0.641,229.0
6,2024-02-29 17:52:28+0000,998,1.229552,0.38378724,1717.0,0.581,129.0
6,2024-02-29 13:35:58+0000,1111,5.772005,1.082251,1688.0,0.657,167.0
6,2024-02-28 19:58:17+0000,1161,0.0,0.40907052,1834.0,0.632,166.0
6,2024-02-28 12:44:20+0000,1144,1.9023788,0.4791613,1813.0,0.63,156.0
6,2024-02-27 20:01:25+0000,1232,0.0,0.37324372,1884.0,0.653,165.0
6,2024-02-27 18:38:45+0000,1149,1.870282,0.5327677,1759.0,0.652,128.0
6,2024-02-26 20:00:38+0000,1209,0.0,0.3805303,1957.0,0.617,144.0
6,2024-02-26 13:40:08+0000,1170,2.024123,0.39627013,1758.0,0.665,155.0
6,2024-02-23 20:01:02+0000,2339,0.0,0.48210368,1912.0,1.222,272.0
6,2024-02-23 13:38:46+0000,1106,1.8017485,0.5078263,1791.0,0.617,121.0
6,2024-02-22 18:10:28+0000,1212,0.0,0.24881989,1796.0,0.674,138.0
6,2024-02-22 13:38:18+0000,1104,3.545422,0.511636,1740.0,0.634,161.0
6,2024-02-21 20:00:33+0000,1274,0.0,0.36021325,1911.0,0.666,132.0
6,2024-02-21 13:37:16+0000,1137,3.2324495,0.567096,1760.0,0.645,138.0
6,2024-02-20 20:02:51+0000,1357,0.0,0.44519895,1878.0,0.722,166.0
6,2024-02-20 13:32:45+0000,1106,3.607503,0.49955955,1798.0,0.615,154.0
6,2024-02-19 20:00:27+0000,1296,0.0,0.30082768,1927.0,0.672,180.0
6,2024-02-19 13:39:35+0000,1127,2.064334,0.30365533,1894.0,0.594,149.0
6,2024-02-16 20:02:34+0000,1152,1.9104906,0.15792355,1991.0,0.578,114.0
6,2024-02-16 13:33:43+0000,1149,1.9789741,0.42505795,1782.0,0.644,130.0
6,2024-02-15 18:15:57+0000,1337,0.0,0.49249864,1876.0,0.712,181.0
6,2024-02-15 13:39:30+0000,1148,1.7829529,0.5042237,1776.0,0.646,154.0
6,2024-02-14 20:02:26+0000,1154,0.0,0.1904092,1765.0,0.653,155.0
6,2024-02-14 13:39:06+0000,1181,2.9753928,0.46470103,1784.0,0.661,164.0
6,2024-02-13 20:02:57+0000,1360,0.0,0.30539298,2042.0,0.665,195.0
6,2024-02-13 13:33:23+0000,1178,5.349007,0.50069493,1815.0,0.648,152.0
6,2024-02-09 20:00:29+0000,1472,0.0,0.13800886,2356.0,0.624,190.0
6,2024-02-09 13:32:12+0000,1146,4.6089363,0.30692947,1840.0,0.622,172.0
6,2024-02-08 18:12:23+0000,1188,0.0,0.4504139,1875.0,0.633,194.0
6,2024-02-08 13:42:39+0000,1114,3.7560017,0.38290778,1746.0,0.638,143.0
6,2024-02-07 20:00:31+0000,1232,0.0,0.4310225,1839.0,0.669,169.0
6,2024-02-07 13:38:24+0000,1111,1.9074204,0.48355663,1806.0,0.614,112.0
